year,opening,count,pct
2013,Sicilian Defense,5,19.23
2013,French Defense,3,11.54
2013,Caro-Kann Defense,2,7.69
2013,Queen's Gambit,2,7.69
2013,Italian Game,0,0.0
2014,Sicilian Defense,3296,14.1
2014,French Defense,1905,8.15
2014,Caro-Kann Defense,843,3.61
2014,Queen's Gambit,1274,5.45
2014,Italian Game,603,2.58
2015,Sicilian Defense,62,6.08
2015,French Defense,54,5.29
2015,Caro-Kann Defense,18,1.76
2015,Queen's Gambit,65,6.37
2015,Italian Game,11,1.08
2016,Sicilian Defense,791,10.91
2016,French Defense,369,5.09
2016,Caro-Kann Defense,277,3.82
2016,Queen's Gambit,280,3.86
2016,Italian Game,81,1.12
2017,Sicilian Defense,148,16.67
2017,French Defense,65,7.32
2017,Caro-Kann Defense,30,3.38
2017,Queen's Gambit,39,4.39
2017,Italian Game,18,2.03
2018,Sicilian Defense,4208,13.84
2018,French Defense,1837,6.04
2018,Caro-Kann Defense,1385,4.55
2018,Queen's Gambit,1380,4.54
2018,Italian Game,710,2.33
2021,Sicilian Defense,5454,17.49
2021,French Defense,1787,5.73
2021,Caro-Kann Defense,1780,5.71
2021,Queen's Gambit,1435,4.6
2021,Italian Game,927,2.97
2024,Sicilian Defense,5180,16.48
2024,French Defense,1892,6.02
2024,Caro-Kann Defense,2042,6.5
2024,Queen's Gambit,1433,4.56
2024,Italian Game,1031,3.28
